Category,Sub-Category,Status,"Asset Name","Last Quarter","Last Quarter Revenue (millions)","Nanalyze Valuation Ratio",ETF,SPAC,"Primary Ticker","Secondary Ticker","Refinitiv Lookup","Price as of 7/16/2021","Market Cap
(millions)",Currency,"Avg. Purchase Price","Gain Loss","Nanalyze Notes","Latest Article Date","Latest Article"
"Artificial Intelligence","Enterprise AI",Loving,Splunk,1Q2021,745.08,7.099938932732055,,,SPLK,,#VALUE!,129.09,21160.09,USD,141.86,-0.0900183279289441,"When Splunk fell sharply following some coronavirus headwinds, we took the opportunity to open a position. Some temporary operational headwinds have us buying more arounf the $114 range.",2021/04/28,https://www.nanalyze.com/2021/04/splunk-stock-falling-revenues-why/
"Artificial Intelligence","Enterprise AI",Avoiding,Appen,,,,,,APX.AU,APPEF,#VALUE!,13.91,1711.874,AUD,,,"We recently sold out of Appen because we're not convinced they have a viable plan once AI algorithms become smart enough that they don't need so much labeled data.",2019/04/26,https://www.nanalyze.com/2020/12/were-not-buying-appen-stock/
"Artificial Intelligence","Enterprise AI",Avoiding,Palantir,,,,,,PLTR,,#VALUE!,25.37,47613.05,USD,,,"Nearly half of all revenues come from government agencies making this a stock we're avoiding. They're too reliant on the U.S. government, something they plan to actually increase over time.",2021/01/23,https://www.nanalyze.com/2021/01/palantir-stock-enterprise-ai/
"Artificial Intelligence","Enterprise AI",Avoiding,"Sumo Logic",,,,,,SUMO,,#VALUE!,21.96,2345.399,USD,,,"They're a competitor of Splunk, a stock we recently moved into. We find Splunk to be a clear leader in their space and Sumo Logic is rather vague about what they actually do. Invest in what you know.",2020/08/31,https://www.nanalyze.com/2020/08/avoiding-sumo-logic-stock/
"Artificial Intelligence","Natural Language Processing",Liking,"Nuance Communications",1Q2021,346.98,11.225942417430398,,,NUAN,,#VALUE!,54.46,15580.71,USD,,,"Natural language processing company that's pivoting away from general dictation and into a healthcare focus. Watching from the sidelines for now.",2019/06/26,https://www.nanalyze.com/2019/06/ai-technology-stock-healthcare/
"Artificial Intelligence","Robotic Process Automation",Loving,Alteryx,1Q2021,118.76,12.085093886830583,,,AYX,,#VALUE!,85.52,5740.903,USD,103.04,-0.1700310559006212,"We opened a positon on a sharp dip because we like their SaaS business model, broad client base, high margins, niche leadership, and the fact they save customers money. ",2020/08/07,https://www.nanalyze.com/2020/08/analytics-data-science-process-automation-stock/
"Artificial Intelligence","Robotic Process Automation",Loving,"Blue Prism",4Q2020,36.45,5.416279149519889,,,PRSM:LN,BPRMF,#VALUE!,826.5,789.6935,GBp,1303,-0.3656945510360706,"We’re bullish on RPA because it has a clear value proposition, saving customers thick wads of cash. Blue Prism is an RPA leader and we're long them because of that.",2018/05/01,https://www.nanalyze.com/2018/05/robotic-process-automation-blue-prism/
"Artificial Intelligence","Robotic Process Automation",Liking,UiPath,1Q2021,607.643,12.581706322626937,,,PATH,,#VALUE!,60.1,30580.7431,USD,,,"Do we continue to hold Blue Prism, or do we look to pivot into holding UiPath? We’ll only be able to answer that question when the dust settles following the UiPath IPO.",2021/03/29,https://www.nanalyze.com/2021/03/uipath-robotic-process-automation-stock/
"Artificial Intelligence","Robotic Process Automation",Liking,NICE,,,,,,NICE,,#VALUE!,256.06,16057.31,USD,,,"CCaaS is in the same domain as RPA because both are about reducing headcount and streamlining operations by using tech. Still, we’re not easily able to navigate the foreign filing documents. ",2021/07/07,https://www.nanalyze.com/2021/07/nice-stock-contact-centers-service/
"Artificial Intelligence","Robotic Process Automation",Avoiding,Pegasystems,,,,,,PEGA,,#VALUE!,137.15,11145.79,USD,,,"Acquired bolt-on AI capabilities and RPA is now a part of what they do. In comparing Pega to Blue Prism, we're going with Blue Prism as it seems more on an RPA pure-play",2020/08/22,https://www.nanalyze.com/2020/08/robotic-process-automation-stock/
Computing,Biometrics,Avoiding,CLEAR,,,,,,YOU,,#VALUE!,40.28,3049,USD,,,"It’s a one-trick travel pony at the moment with ambitions to do something much bigger. We don't invest in stories, and there's quite a deal of regulatory risk around airports and healthcare apps.",2021/06/13,https://www.nanalyze.com/2021/06/clear-biometrics-stock/
Computing,Blockchain,Loving,Bitcoin,,,,,,BTC-USD,,#VALUE!,34719.91,598569,USD,10000,2.4719910000000005,"We decided to allocate something around 2% of our assets in bitcoin. We're just holding it as one of a number of alternative asset classes to provide diversification. Extremely volatile. Be warned.",2020/09/18,https://www.nanalyze.com/2020/09/investing-bitcoin-gold/
Computing,Blockchain,Avoiding,"Amplify Trans Data Shrng ",,,,Y,,BLOK,,#VALUE!,45.84,1089.65443241,USD,,,"Actively managed by a human portfolio manager who can add/remove stocks anytime which incurs transaction costs. Far from a pure-play on blockchain so we're passing.",2018/05/07,https://www.nanalyze.com/2018/05/4-blockchain-etfs-investing-blockchain/
Computing,Blockchain,Avoiding,"Nasdaq NexGen Econ",,,,Y,,BLCN,,#VALUE!,47.16,314.69678387,USD,,,"Uses a rules-based index created in partnership with Nasdaq and governed by an advisory board. Rebalanced twice a year. Far from a pure-play on blockchain so we're passing.",2018/05/07,https://www.nanalyze.com/2018/05/4-blockchain-etfs-investing-blockchain/
Computing,Blockchain,Avoiding,Microstrategy,,,,,,MSTR,,#VALUE!,646.46,6300.136,USD,,,"You’re investing in a mediocre software company whose CEO appears distracted as he touts Bitcoin using every media channel that will let him. If you’re looking for Bitcoin exposure, just buy Bitcoin.",2020/11/25,https://www.nanalyze.com/2020/11/microstrategy-stock-not-bitcoin-investment/
Computing,Blockchain,Avoiding,"Marathon Digital",,,,,,MARA,,#VALUE!,28.92,2881.419,USD,,,"$3.58 billion company spends $2 to mine $1 worth of Bitcoin, barely clearing $5 million in revenues for  2020. Needs to compete with China where some of the cheapest electricity is produced. No thanks. ",2021/05/03,https://www.nanalyze.com/2021/05/complete-guide-blockchain-stocks/
Computing,Blockchain,Avoiding,"Riot Blockchain",,,,,,RIOT,,#VALUE!,32.18,2707.778,USD,,,"This business is  too complicated, but we're also passing for a bigger reason. If a Bitcoin miner’s fate is tied to the price of Bitcoin and electricity, why take on operational risk by investing in the miner?",2021/05/03,https://www.nanalyze.com/2021/05/complete-guide-blockchain-stocks/
Computing,Blockchain,Avoiding,"Silvergate Capital",,,,,,SI,,#VALUE!,94.82,2402.499,USD,,,"Silvergate is a cryptocurrency bank, and the complexity of their operation means there are risks we can’t even imagine, and ones we can - like underperforming loans. Look at Coinbase instead.",2021/06/06,https://www.nanalyze.com/2021/06/silvergate-capital-cryptocurrency-bank/
Computing,Blockchain,Avoiding,Investview,,,,,,INVU,,#VALUE!,0.19,615.1215,USD,,,"Reporting Bitcoin mining revenues every month by press release and not supplying an investor deck are red flags. Like Ideanomics, this collection of subsidiaries is best avoided.",2021/05/03,https://www.nanalyze.com/2021/05/complete-guide-blockchain-stocks/
Computing,Blockchain,Avoiding,Ideanomics,,,,,,IDEX,,#VALUE!,3.03,1290.477,USD,,,"In the “too complicated to understand” category is Ideanomics, a company that’s dabbling in electric vehicles and fintech stuff. Avoid this company as you would avoid electric vehicle stocks.",2021/05/03,https://www.nanalyze.com/2021/05/complete-guide-blockchain-stocks/
Computing,Blockchain,Avoiding,Coinbase,,,,,,COIN,,#VALUE!,229.29,47844.14,USD,,,"We’re liking coinbase stock at $128 a share, something explained in our recent research piece. We’re avoiding Coinbase until shares have had some time to trade and the dust has settled. ",2021/05/03,https://www.nanalyze.com/2021/02/liking-coinbase-stock-shares/
Computing,Blockchain,Avoiding,"Grayscale Bitcoin Trust",,,,,,GBTC,,#VALUE!,29.8,20632.63,USD,,,"It's a bitcoin investment vehicle that charges 2% and is often detached from the underlying price of bitcoins thanks to the Robinhood trader types who have no concept of value. Buy bitcoin instead.",2020/09/25,https://www.nanalyze.com/2020/09/safest-easiest-way-invest-bitcoin/
Computing,Blockchain,Avoiding,Microstrategy,,,,,,MSTR,,#VALUE!,646.46,6300.136,USD,,,"If we want to invest in bitcoin, we'll go buy bitcoin. What we won't do is buy some shrinking enteprise software business that owns a bunch of bitcoin with a leader who appears extremely distracted.",2020/11/25,https://www.nanalyze.com/2020/11/microstrategy-stock-not-bitcoin-investment/
Computing,"Computing - General",Liking,"Altair Engineering",1Q2021,150.16,8.04160895045285,,,ALTR,,#VALUE!,64.28,4830.112,USD,,,"With many use cases including predictive maintenance, a SaaS business model, and a
well-diversified client base of 8,000 global companies, Altair is a company to watch.",2019/12/11,https://www.nanalyze.com/2019/12/altair-engineering-stock-simulated-design/
Computing,"Computing - General",Liking,Cree,1Q2021,137.3,19.141405680990527,,,CREE,,#VALUE!,91.04,10512.46,USD,,,"Multiple growth drivers – solar, electric vehicles, EV charging, and 5G – means revenue will be diversified. 2020 revenues dumped. Keeping an eye on them from the sidelines.",2019/06/23,https://www.nanalyze.com/2019/06/investing-gallium-nitride-silicon-carbide/
Computing,"Computing - General",Liking,IBM,1Q2021,17730,1.8031725888324872,,,IBM,,#VALUE!,143.12,127881,USD,,,"We don't love IBM's tech story, but have written a number of articles on them. Readers dig it.  It's a great dividend growth stock and we hold it in our Quantigence Portfolio. Removed from tech report.",2020/07/21,https://www.nanalyze.com/2020/07/ibm-artificial-intelligence/
Computing,"Computing - General",Avoiding,"Ali Baba",,,,,,BABA,,#VALUE!,212.3,575570.5,USD,,,"When this was our largest positon we became concerned with Jack Ma left the ship. We sold out of our entire position as it was making new highs. Now tangling with the Chinese government. Not good. ",2020/09/23,https://www.nanalyze.com/2020/09/bear-thesis-ali-baba-stock/
Computing,"Computing - General",Avoiding,Atomera,,,,,,ATOM,,#VALUE!,24.59,566.4919,USD,,,"The latest earnings call from Atomera doesn’t seem to promise too much. Until we see some meaningful revenues, Atomera will continue to spin tires, selling more shares to cover their expenses.",2020/06/01,"https://www.nanalyze.com/2020/06/atomera-ipo-postpones-end-moores-law/ "
Computing,Cybersecurity,Liking,Darktrace,,,,,,DARK.L,,#VALUE!,483.4,3399.24,GBp,,,"Traded in the U.K. so likely trades at a discount to U.S. counterparts. Autonomous solution that saves on headcount. Geographically diversified. We prefer to hold an ETF, but like this stock nonetheless.",2021/06/08,https://www.nanalyze.com/2021/06/sentinelone-stock-vs-darktrace-stock/
Computing,Cybersecurity,Loving,"Global X Cybersecurity ETF",,,,Y,,BUG,,#VALUE!,28.99,352.02533381,USD,26.55,0.09190207156308842,"This was the most concentrated ETF of the bunch with the top-5 cybersecurity stocks making up 35% of the ETF's weighting. We may enter a position here, but we're going to look at Crowdstrike first.",2021/04/09,https://www.nanalyze.com/2021/04/best-cybersecurity-etf-invest-guide/
Computing,Cybersecurity,Liking,Crowdstrike,1Q2021,302.843,45.65342438161027,,,CRWD,,#VALUE!,244.91,55303.28,USD,,,"One of three biggest cybersecurity stocks. The old land-and-expand appears to be working well, and with a valuation to match. Too richly priced so we went with the ETF instead. ",2021/04/20,https://www.nanalyze.com/2021/04/biggest-cybersecurity-stocks-best/
Computing,Cybersecurity,Avoiding,"SentinelOne ",,,,,,S,,#VALUE!,45.405,11354.36,USD,,,"The company is burning through an increasingly large amount of cash each quarter as it tries to compete with the market leader - Crowsdtrike. Just buy Crowdstrike instead. Or Darktrace.",2021/06/08,https://www.nanalyze.com/2021/06/sentinelone-stock-vs-darktrace-stock/
Computing,Cybersecurity,Avoiding,Fortinet,,,,,,FTNT,,#VALUE!,233.66,38160.8,USD,,,"One of the three biggest cybersecurity stocks. We're going to avoid trying to cherry-pick one of the dozens of publicly traded cybersecurity stocks and analyze the ETFs in a future article.",2021/04/20,https://www.nanalyze.com/2021/04/biggest-cybersecurity-stocks-best/
Computing,Cybersecurity,Avoiding,"Palo Alto Networks",,,,,,PANW,,#VALUE!,371.71,36201.16,USD,,,"One of the three biggest cybersecurity stocks. We're going to avoid trying to cherry-pick one of the dozens of publicly traded cybersecurity stocks and analyze the ETFs in a future article.",2021/04/20,https://www.nanalyze.com/2021/04/biggest-cybersecurity-stocks-best/
